Sat Mar 17 05:51:35 2018,"sakura_pachi","RT @MOLD_games_EN: 【MOLD will be listed on HitBTC！！】\n\nWe are glad to announce the soon listing of Moldcoin (MLD), new token that will be us…",ETH,598.85,BTC,8186.75
Sat Mar 17 05:51:36 2018,"rifqird","RT @krownetwork: AIRDROP WINNERS (10k KRW):\n\n1. @mmrony8 \n2. @Marco_gencs \n3. @Saukatrm \n4. @Om_Jhojon \n5. @mrpaflex \n6. @Charity4crypto \n7…",ETH,598.85,BTC,8186.75
Sat Mar 17 05:51:36 2018,"time_dane","RT @nanjcoin: 【CoinExchangeに上場しました】\n皆様の多大なお力添えのおかげで、この良き日を迎えることができました。\n多くの人に愛されるトークンを目指し、皆様と二人三脚で精進してまいりたいと存じます。\n\n購入方法詳細はDisrcord：https://t…",ETH,598.85,BTC,8186.75
Sat Mar 17 05:51:37 2018,"ssatrudhanshar1","It's a very nice token and great Opportunity https://t.co/NZfYhnLnLm",ETH,598.85,BTC,8186.75
Sat Mar 17 05:51:38 2018,"rinnared","仮想通貨取引所大手コインチェック社が匿名系仮想通貨の取り扱い停止を検討 https://t.co/8XCFSfpGsn #仮想通貨 #ビットコイン #ビットコインキャッシュ #ビットコインFX #BTC #相互フォロー",ETH,598.85,BTC,8186.75
Sat Mar 17 05:51:39 2018,"Viral_Revshares","Technology + Efficiency + Transparency = Future Mining!\nNew German Real Mining Site https://t.co/aWrsfgHlrj\n- Activ… https://t.co/QAfMWKnO0k",ETH,598.85,BTC,8186.75
Sat Mar 17 05:51:40 2018,"samtani776","RT @AltOne_Crypto: $BTC - Also, the chances of us bouncing at $7250 is VERY high because you can see it's clearly making 3 fractals the las…",ETH,598.85,BTC,8186.75
Sat Mar 17 05:51:40 2018,"BUZZ_Just_In","Gain from movement in these buzzing assets #Spectre $ETH #DigitalTransformation #ArtificialIntelligence… https://t.co/TqtnOo9rZD",ETH,598.85,BTC,8186.75
Sat Mar 17 05:51:41 2018,"rinnared","メルセデスベンツ、ポルシェが仮想通貨プロジェクトを静かに実施 https://t.co/aN1wNmGEs1 #仮想通貨 #ビットコイン #ビットコインキャッシュ #ビットコインFX #BTC #相互フォロー",ETH,598.85,BTC,8186.75
Sat Mar 17 05:51:42 2018,"Toymingste10","RT @nodepower_eu: 🙌Are you just going to sit back and watch how your 15% bonus is waving away? Impossible! \n⏰Purchase your NODE Tokens toda…",ETH,598.85,BTC,8186.75
